text,label,conceptual_level,note
a mine,GEONOUN,locale,geonouns; case_insensitive; curated
copper mines,GEONOUN,locale,geonouns; case_insensitive; curated
copper mineses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
copper works,GEONOUN,locale,geonouns; case_insensitive; curated
copper workses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
coppice,GEONOUN,locale,geonouns; case_insensitive; curated
coppices,GEONOUN,locale,geonouns; case_insensitive; generated inflection
coral reef,GEONOUN,locale,geonouns; case_insensitive; curated
coral reefs,GEONOUN,locale,geonouns; case_insensitive; curated
coral reefses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cordillera,GEONOUN,locale,geonouns; case_insensitive; curated
cordilleras,GEONOUN,locale,geonouns; case_insensitive; generated inflection
corn field,GEONOUN,locale,geonouns; case_insensitive; curated
corn fields,GEONOUN,locale,geonouns; case_insensitive; generated inflection
corner,GEONOUN,locale,geonouns; case_insensitive; curated
corners,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cornfield,GEONOUN,locale,geonouns; case_insensitive; curated
cornfields,GEONOUN,locale,geonouns; case_insensitive; generated inflection
corral,GEONOUN,locale,geonouns; case_insensitive; curated
corrals,GEONOUN,locale,geonouns; case_insensitive; curated
corralses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
corridor,GEONOUN,locale,geonouns; case_insensitive; curated
corridors,GEONOUN,locale,geonouns; case_insensitive; curated
corridorses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
corrie,GEONOUN,locale,geonouns; case_insensitive; curated
corries,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cote,GEONOUN,locale,geonouns; case_insensitive; curated
cotes,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cottage,GEONOUN,locale,geonouns; case_insensitive; curated
cottages,GEONOUN,locale,geonouns; case_insensitive; curated
cottageses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cotton plantation,GEONOUN,locale,geonouns; case_insensitive; curated
cotton plantations,GEONOUN,locale,geonouns; case_insensitive; generated inflection
council,GEONOUN,locale,geonouns; case_insensitive; curated
councils,GEONOUN,locale,geonouns; case_insensitive; generated inflection
counties,GEONOUN,locale,geonouns; case_insensitive; generated inflection
countries,GEONOUN,locale,geonouns; case_insensitive; generated inflection
country,GEONOUN,locale,geonouns; case_insensitive; curated
country house,GEONOUN,locale,geonouns; case_insensitive; curated
country houses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
countryside,GEONOUN,locale,geonouns; case_insensitive; curated
countrysides,GEONOUN,locale,geonouns; case_insensitive; generated inflection
county,GEONOUN,locale,geonouns; case_insensitive; curated
court,GEONOUN,locale,geonouns; case_insensitive; curated
courthouse,GEONOUN,locale,geonouns; case_insensitive; curated
courthouses,GEONOUN,locale,geonouns; case_insensitive; curated
courthouseses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
courts,GEONOUN,locale,geonouns; case_insensitive; generated inflection
courtyard,GEONOUN,locale,geonouns; case_insensitive; curated
courtyards,GEONOUN,locale,geonouns; case_insensitive; curated
courtyardses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cove,GEONOUN,locale,geonouns; case_insensitive; curated
coves,GEONOUN,locale,geonouns; case_insensitive; curated
coveses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cow barn,GEONOUN,locale,geonouns; case_insensitive; curated
cow barns,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cow pasture,GEONOUN,locale,geonouns; case_insensitive; curated
cow pastures,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cow town,GEONOUN,locale,geonouns; case_insensitive; curated
cow towns,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cowbarn,GEONOUN,locale,geonouns; case_insensitive; curated
cowbarns,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cowhouse,GEONOUN,locale,geonouns; case_insensitive; curated
cowhouses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cowshed,GEONOUN,locale,geonouns; case_insensitive; curated
cowsheds,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cowtown,GEONOUN,locale,geonouns; case_insensitive; curated
cowtowns,GEONOUN,locale,geonouns; case_insensitive; generated inflection
crag,GEONOUN,locale,geonouns; case_insensitive; curated
crags,GEONOUN,locale,geonouns; case_insensitive; generated inflection
crater,GEONOUN,locale,geonouns; case_insensitive; curated
crater lake,GEONOUN,locale,geonouns; case_insensitive; curated
crater lakes,GEONOUN,locale,geonouns; case_insensitive; curated
crater lakeses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
craters,GEONOUN,locale,geonouns; case_insensitive; curated
craterses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
crazy house,GEONOUN,locale,geonouns; case_insensitive; curated
crazy houses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
creche,GEONOUN,locale,geonouns; case_insensitive; curated
creches,GEONOUN,locale,geonouns; case_insensitive; generated inflection
creek,GEONOUN,locale,geonouns; case_insensitive; curated
creek bed,GEONOUN,locale,geonouns; case_insensitive; curated
creek beds,GEONOUN,locale,geonouns; case_insensitive; generated inflection
creeks,GEONOUN,locale,geonouns; case_insensitive; generated inflection
crematories,GEONOUN,locale,geonouns; case_insensitive; generated inflection
crematorium,GEONOUN,locale,geonouns; case_insensitive; curated
crematoriums,GEONOUN,locale,geonouns; case_insensitive; generated inflection
crematory,GEONOUN,locale,geonouns; case_insensitive; curated
crest,GEONOUN,locale,geonouns; case_insensitive; curated
crests,GEONOUN,locale,geonouns; case_insensitive; generated inflection
crossing,GEONOUN,locale,geonouns; case_insensitive; curated
crossings,GEONOUN,locale,geonouns; case_insensitive; generated inflection
crossroad,GEONOUN,locale,geonouns; case_insensitive; curated
crossroads,GEONOUN,locale,geonouns; case_insensitive; generated inflection
crossway,GEONOUN,locale,geonouns; case_insensitive; curated
crossways,GEONOUN,locale,geonouns; case_insensitive; generated inflection
crown,GEONOUN,locale,geonouns; case_insensitive; curated
crown colonies,GEONOUN,locale,geonouns; case_insensitive; generated inflection
crown colony,GEONOUN,locale,geonouns; case_insensitive; curated
crowns,GEONOUN,locale,geonouns; case_insensitive; generated inflection
crypt,GEONOUN,locale,geonouns; case_insensitive; curated
crypts,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cubicles,GEONOUN,locale,geonouns; case_insensitive; curated
cubicleses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cuckoo's nest,GEONOUN,locale,geonouns; case_insensitive; curated
cuckoo's nests,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cuesta,GEONOUN,locale,geonouns; case_insensitive; curated
cuestas,GEONOUN,locale,geonouns; case_insensitive; curated
cuestases,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cultivated area,GEONOUN,locale,geonouns; case_insensitive; curated
cultivated areas,GEONOUN,locale,geonouns; case_insensitive; generated inflection
current,GEONOUN,locale,geonouns; case_insensitive; curated
currents,GEONOUN,locale,geonouns; case_insensitive; generated inflection
curtilage,GEONOUN,locale,geonouns; case_insensitive; curated
curtilages,GEONOUN,locale,geonouns; case_insensitive; generated inflection
customhouse,GEONOUN,locale,geonouns; case_insensitive; curated
customhouses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
customs house,GEONOUN,locale,geonouns; case_insensitive; curated
customs houses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
customs post,GEONOUN,locale,geonouns; case_insensitive; curated
customs posts,GEONOUN,locale,geonouns; case_insensitive; generated inflection
customshouse,GEONOUN,locale,geonouns; case_insensitive; curated
customshouses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cutoff,GEONOUN,locale,geonouns; case_insensitive; curated
cutoffs,GEONOUN,locale,geonouns; case_insensitive; generated inflection
cybercafe,GEONOUN,locale,geonouns; case_insensitive; curated
cybercafes,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dacha,GEONOUN,locale,geonouns; case_insensitive; curated
dachas,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dale,GEONOUN,locale,geonouns; case_insensitive; curated
dales,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dam,GEONOUN,locale,geonouns; case_insensitive; curated
dams,GEONOUN,locale,geonouns; case_insensitive; curated
damses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dar al-harb,GEONOUN,locale,geonouns; case_insensitive; curated
dar al-harbs,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dar al-islam,GEONOUN,locale,geonouns; case_insensitive; curated
dar al-islams,GEONOUN,locale,geonouns; case_insensitive; generated inflection
davy jones,GEONOUN,locale,geonouns; case_insensitive; curated
davy joneses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
day camp,GEONOUN,locale,geonouns; case_insensitive; curated
day camps,GEONOUN,locale,geonouns; case_insensitive; generated inflection
day school,GEONOUN,locale,geonouns; case_insensitive; curated
day schools,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dead drop,GEONOUN,locale,geonouns; case_insensitive; curated
dead drops,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dead room,GEONOUN,locale,geonouns; case_insensitive; curated
dead rooms,GEONOUN,locale,geonouns; case_insensitive; generated inflection
deaneries,GEONOUN,locale,geonouns; case_insensitive; generated inflection
deanery,GEONOUN,locale,geonouns; case_insensitive; curated
declension,GEONOUN,locale,geonouns; case_insensitive; curated
declensions,GEONOUN,locale,geonouns; case_insensitive; generated inflection
declination,GEONOUN,locale,geonouns; case_insensitive; curated
declinations,GEONOUN,locale,geonouns; case_insensitive; generated inflection
decline,GEONOUN,locale,geonouns; case_insensitive; curated
declines,GEONOUN,locale,geonouns; case_insensitive; generated inflection
declivities,GEONOUN,locale,geonouns; case_insensitive; generated inflection
declivity,GEONOUN,locale,geonouns; case_insensitive; curated
deep end,GEONOUN,locale,geonouns; case_insensitive; curated
deep ends,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dell,GEONOUN,locale,geonouns; case_insensitive; curated
dells,GEONOUN,locale,geonouns; case_insensitive; generated inflection
delta,GEONOUN,locale,geonouns; case_insensitive; curated
deltas,GEONOUN,locale,geonouns; case_insensitive; generated inflection
den,GEONOUN,locale,geonouns; case_insensitive; curated
dens,GEONOUN,locale,geonouns; case_insensitive; generated inflection
department,GEONOUN,locale,geonouns; case_insensitive; curated
departmental,GEONOUN,locale,geonouns; case_insensitive; curated
departmentals,GEONOUN,locale,geonouns; case_insensitive; generated inflection
departments,GEONOUN,locale,geonouns; case_insensitive; curated
departmentses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
depression,GEONOUN,locale,geonouns; case_insensitive; curated
depressions,GEONOUN,locale,geonouns; case_insensitive; generated inflection
descent,GEONOUN,locale,geonouns; case_insensitive; curated
descents,GEONOUN,locale,geonouns; case_insensitive; generated inflection
desert,GEONOUN,locale,geonouns; case_insensitive; curated
deserts,GEONOUN,locale,geonouns; case_insensitive; generated inflection
destroyed populated place,GEONOUN,locale,geonouns; case_insensitive; curated
destroyed populated places,GEONOUN,locale,geonouns; case_insensitive; generated inflection
detached,GEONOUN,locale,geonouns; case_insensitive; curated
detached house,GEONOUN,locale,geonouns; case_insensitive; curated
detached houses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
detacheds,GEONOUN,locale,geonouns; case_insensitive; generated inflection
detention basin,GEONOUN,locale,geonouns; case_insensitive; curated
detention basins,GEONOUN,locale,geonouns; case_insensitive; generated inflection
developer,GEONOUN,locale,geonouns; case_insensitive; curated
developers,GEONOUN,locale,geonouns; case_insensitive; curated
developerses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
diamond,GEONOUN,locale,geonouns; case_insensitive; curated
diamonds,GEONOUN,locale,geonouns; case_insensitive; generated inflection
diapir,GEONOUN,locale,geonouns; case_insensitive; curated
diapirs,GEONOUN,locale,geonouns; case_insensitive; generated inflection
diatomite mine,GEONOUN,locale,geonouns; case_insensitive; curated
diatomite mines,GEONOUN,locale,geonouns; case_insensitive; generated inflection
digs,GEONOUN,locale,geonouns; case_insensitive; curated
digses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dike,GEONOUN,locale,geonouns; case_insensitive; curated
dikes,GEONOUN,locale,geonouns; case_insensitive; curated
dikeses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
diner,GEONOUN,locale,geonouns; case_insensitive; curated
diners,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dingle,GEONOUN,locale,geonouns; case_insensitive; curated
dingles,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dinner theater,GEONOUN,locale,geonouns; case_insensitive; curated
dinner theaters,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dinner theatre,GEONOUN,locale,geonouns; case_insensitive; curated
dinner theatres,GEONOUN,locale,geonouns; case_insensitive; generated inflection
diocese,GEONOUN,locale,geonouns; case_insensitive; curated
dioceses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
diplomatic building,GEONOUN,locale,geonouns; case_insensitive; curated
diplomatic buildings,GEONOUN,locale,geonouns; case_insensitive; generated inflection
diplomatic facilities,GEONOUN,locale,geonouns; case_insensitive; generated inflection
diplomatic facility,GEONOUN,locale,geonouns; case_insensitive; curated
dispensaries,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dispensary,GEONOUN,locale,geonouns; case_insensitive; curated
distributaries,GEONOUN,locale,geonouns; case_insensitive; curated
distributarieses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
distributary,GEONOUN,locale,geonouns; case_insensitive; curated
district,GEONOUN,locale,geonouns; case_insensitive; curated
district water board,GEONOUN,locale,geonouns; case_insensitive; curated
district water boards,GEONOUN,locale,geonouns; case_insensitive; generated inflection
districts,GEONOUN,locale,geonouns; case_insensitive; generated inflection
ditch,GEONOUN,locale,geonouns; case_insensitive; curated
ditch mouth,GEONOUN,locale,geonouns; case_insensitive; curated
ditch mouths,GEONOUN,locale,geonouns; case_insensitive; curated
ditch mouthses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
ditches,GEONOUN,locale,geonouns; case_insensitive; generated inflection
divide,GEONOUN,locale,geonouns; case_insensitive; curated
divides,GEONOUN,locale,geonouns; case_insensitive; generated inflection
division,GEONOUN,locale,geonouns; case_insensitive; curated
divisions,GEONOUN,locale,geonouns; case_insensitive; generated inflection
divot,GEONOUN,locale,geonouns; case_insensitive; curated
divots,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dock,GEONOUN,locale,geonouns; case_insensitive; curated
docking basin,GEONOUN,locale,geonouns; case_insensitive; curated
docking basins,GEONOUN,locale,geonouns; case_insensitive; generated inflection
docks,GEONOUN,locale,geonouns; case_insensitive; curated
dockses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dockyard,GEONOUN,locale,geonouns; case_insensitive; curated
dockyards,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dog house,GEONOUN,locale,geonouns; case_insensitive; curated
dog houses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
doghouse,GEONOUN,locale,geonouns; case_insensitive; curated
doghouses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
doll's house,GEONOUN,locale,geonouns; case_insensitive; curated
doll's houses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dollhouse,GEONOUN,locale,geonouns; case_insensitive; curated
dollhouses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dome,GEONOUN,locale,geonouns; case_insensitive; curated
domes,GEONOUN,locale,geonouns; case_insensitive; curated
domeses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
doorsteps,GEONOUN,locale,geonouns; case_insensitive; curated
doorstepses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
doorway,GEONOUN,locale,geonouns; case_insensitive; curated
doorways,GEONOUN,locale,geonouns; case_insensitive; curated
doorwayses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dooryard,GEONOUN,locale,geonouns; case_insensitive; curated
dooryards,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dorm,GEONOUN,locale,geonouns; case_insensitive; curated
dormer,GEONOUN,locale,geonouns; case_insensitive; curated
dormers,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dorming,GEONOUN,locale,geonouns; case_insensitive; curated
dormings,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dormitories,GEONOUN,locale,geonouns; case_insensitive; curated
dormitorieses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dormitory,GEONOUN,locale,geonouns; case_insensitive; curated
dorms,GEONOUN,locale,geonouns; case_insensitive; curated
dormses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dosshouse,GEONOUN,locale,geonouns; case_insensitive; curated
dosshouses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
downhill,GEONOUN,locale,geonouns; case_insensitive; curated
downhills,GEONOUN,locale,geonouns; case_insensitive; generated inflection
downslope,GEONOUN,locale,geonouns; case_insensitive; curated
downslopes,GEONOUN,locale,geonouns; case_insensitive; generated inflection
downstairs,GEONOUN,locale,geonouns; case_insensitive; curated
downstairses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
drainage area,GEONOUN,locale,geonouns; case_insensitive; curated
drainage areas,GEONOUN,locale,geonouns; case_insensitive; generated inflection
drainage basin,GEONOUN,locale,geonouns; case_insensitive; curated
drainage basins,GEONOUN,locale,geonouns; case_insensitive; generated inflection
drainage canal,GEONOUN,locale,geonouns; case_insensitive; curated
drainage canals,GEONOUN,locale,geonouns; case_insensitive; generated inflection
drainage ditch,GEONOUN,locale,geonouns; case_insensitive; curated
drainage ditches,GEONOUN,locale,geonouns; case_insensitive; generated inflection
drainpipe,GEONOUN,locale,geonouns; case_insensitive; curated
drainpipes,GEONOUN,locale,geonouns; case_insensitive; generated inflection
driving school,GEONOUN,locale,geonouns; case_insensitive; curated
driving schools,GEONOUN,locale,geonouns; case_insensitive; generated inflection
drop-off,GEONOUN,locale,geonouns; case_insensitive; curated
drop-offs,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dry dock,GEONOUN,locale,geonouns; case_insensitive; curated
dry docks,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dry land,GEONOUN,locale,geonouns; case_insensitive; curated
dry lands,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dry stream bed,GEONOUN,locale,geonouns; case_insensitive; curated
dry stream beds,GEONOUN,locale,geonouns; case_insensitive; generated inflection
ducts,GEONOUN,locale,geonouns; case_insensitive; curated
ductses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dude ranch,GEONOUN,locale,geonouns; case_insensitive; curated
dude ranches,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dump,GEONOUN,locale,geonouns; case_insensitive; curated
dumps,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dumpsite,GEONOUN,locale,geonouns; case_insensitive; curated
dumpsites,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dune,GEONOUN,locale,geonouns; case_insensitive; curated
dunes,GEONOUN,locale,geonouns; case_insensitive; curated
duneses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
duomo,GEONOUN,locale,geonouns; case_insensitive; curated
duomos,GEONOUN,locale,geonouns; case_insensitive; generated inflection
duplex,GEONOUN,locale,geonouns; case_insensitive; curated
duplex house,GEONOUN,locale,geonouns; case_insensitive; curated
duplex houses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
duplexes,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dust bowl,GEONOUN,locale,geonouns; case_insensitive; curated
dust bowls,GEONOUN,locale,geonouns; case_insensitive; generated inflection
dyke,GEONOUN,locale,geonouns; case_insensitive; curated
dykes,GEONOUN,locale,geonouns; case_insensitive; curated
dykeses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
earth,GEONOUN,locale,geonouns; case_insensitive; curated
earth-closet,GEONOUN,locale,geonouns; case_insensitive; curated
earth-closets,GEONOUN,locale,geonouns; case_insensitive; generated inflection
earths,GEONOUN,locale,geonouns; case_insensitive; generated inflection
earthworks,GEONOUN,locale,geonouns; case_insensitive; curated
earthworkses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
eastern hemisphere,GEONOUN,locale,geonouns; case_insensitive; curated
eastern hemispheres,GEONOUN,locale,geonouns; case_insensitive; generated inflection
eateries,GEONOUN,locale,geonouns; case_insensitive; generated inflection
eatery,GEONOUN,locale,geonouns; case_insensitive; curated
eating house,GEONOUN,locale,geonouns; case_insensitive; curated
eating houses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
eating place,GEONOUN,locale,geonouns; case_insensitive; curated
eating places,GEONOUN,locale,geonouns; case_insensitive; generated inflection
edge,GEONOUN,locale,geonouns; case_insensitive; curated
edges,GEONOUN,locale,geonouns; case_insensitive; generated inflection
edifice,GEONOUN,locale,geonouns; case_insensitive; curated
edifices,GEONOUN,locale,geonouns; case_insensitive; generated inflection
eitchen midden,GEONOUN,locale,geonouns; case_insensitive; curated
eitchen middens,GEONOUN,locale,geonouns; case_insensitive; generated inflection
elevation,GEONOUN,locale,geonouns; case_insensitive; curated
elevations,GEONOUN,locale,geonouns; case_insensitive; generated inflection
elevator,GEONOUN,locale,geonouns; case_insensitive; curated
elevators,GEONOUN,locale,geonouns; case_insensitive; curated
elevatorses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
embassies,GEONOUN,locale,geonouns; case_insensitive; generated inflection
embassy,GEONOUN,locale,geonouns; case_insensitive; curated
embayment,GEONOUN,locale,geonouns; case_insensitive; curated
embayments,GEONOUN,locale,geonouns; case_insensitive; generated inflection
encampment,GEONOUN,locale,geonouns; case_insensitive; curated
encampments,GEONOUN,locale,geonouns; case_insensitive; generated inflection
entrance,GEONOUN,locale,geonouns; case_insensitive; curated
entrances,GEONOUN,locale,geonouns; case_insensitive; generated inflection
environment,GEONOUN,locale,geonouns; case_insensitive; curated
environments,GEONOUN,locale,geonouns; case_insensitive; generated inflection
environs,GEONOUN,locale,geonouns; case_insensitive; curated
environses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
erector,GEONOUN,locale,geonouns; case_insensitive; curated
erectors,GEONOUN,locale,geonouns; case_insensitive; generated inflection
escarpment,GEONOUN,locale,geonouns; case_insensitive; curated
escarpments,GEONOUN,locale,geonouns; case_insensitive; generated inflection
esker,GEONOUN,locale,geonouns; case_insensitive; curated
eskers,GEONOUN,locale,geonouns; case_insensitive; generated inflection
espresso shop,GEONOUN,locale,geonouns; case_insensitive; curated
espresso shops,GEONOUN,locale,geonouns; case_insensitive; generated inflection
estaminet,GEONOUN,locale,geonouns; case_insensitive; curated
estaminets,GEONOUN,locale,geonouns; case_insensitive; generated inflection
estate,GEONOUN,locale,geonouns; case_insensitive; curated
estates,GEONOUN,locale,geonouns; case_insensitive; curated
estateses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
estuaries,GEONOUN,locale,geonouns; case_insensitive; generated inflection
estuary,GEONOUN,locale,geonouns; case_insensitive; curated
excavation,GEONOUN,locale,geonouns; case_insensitive; curated
excavations,GEONOUN,locale,geonouns; case_insensitive; generated inflection
experiment station,GEONOUN,locale,geonouns; case_insensitive; curated
experiment stations,GEONOUN,locale,geonouns; case_insensitive; generated inflection
extension,GEONOUN,locale,geonouns; case_insensitive; curated
extensions,GEONOUN,locale,geonouns; case_insensitive; curated
extensionses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
eyrie,GEONOUN,locale,geonouns; case_insensitive; curated
eyries,GEONOUN,locale,geonouns; case_insensitive; generated inflection
eyry,GEONOUN,locale,geonouns; case_insensitive; curated
facade,GEONOUN,locale,geonouns; case_insensitive; curated
facades,GEONOUN,locale,geonouns; case_insensitive; curated
facadeses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
facilities,GEONOUN,locale,geonouns; case_insensitive; curated
facilitieses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
facility,GEONOUN,locale,geonouns; case_insensitive; curated
facility center,GEONOUN,locale,geonouns; case_insensitive; curated
facility centers,GEONOUN,locale,geonouns; case_insensitive; generated inflection
factories,GEONOUN,locale,geonouns; case_insensitive; generated inflection
factory,GEONOUN,locale,geonouns; case_insensitive; curated
fairground,GEONOUN,locale,geonouns; case_insensitive; curated
fairgrounds,GEONOUN,locale,geonouns; case_insensitive; generated inflection
fairway,GEONOUN,locale,geonouns; case_insensitive; curated
fairways,GEONOUN,locale,geonouns; case_insensitive; generated inflection
fall,GEONOUN,locale,geonouns; case_insensitive; curated
falls,GEONOUN,locale,geonouns; case_insensitive; curated
fallses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
fans,GEONOUN,locale,geonouns; case_insensitive; curated
fanses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
farm,GEONOUN,locale,geonouns; case_insensitive; curated
farm building,GEONOUN,locale,geonouns; case_insensitive; curated
farm buildings,GEONOUN,locale,geonouns; case_insensitive; generated inflection
farm village,GEONOUN,locale,geonouns; case_insensitive; curated
farm villages,GEONOUN,locale,geonouns; case_insensitive; generated inflection
farmhouse,GEONOUN,locale,geonouns; case_insensitive; curated
farmhouses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
farming area,GEONOUN,locale,geonouns; case_insensitive; curated
farming areas,GEONOUN,locale,geonouns; case_insensitive; generated inflection
farmland,GEONOUN,locale,geonouns; case_insensitive; curated
farmlands,GEONOUN,locale,geonouns; case_insensitive; generated inflection
farms,GEONOUN,locale,geonouns; case_insensitive; curated
farmses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
farmstead,GEONOUN,locale,geonouns; case_insensitive; curated
farmsteads,GEONOUN,locale,geonouns; case_insensitive; generated inflection
feeder,GEONOUN,locale,geonouns; case_insensitive; curated
feeders,GEONOUN,locale,geonouns; case_insensitive; generated inflection
feedlot,GEONOUN,locale,geonouns; case_insensitive; curated
feedlots,GEONOUN,locale,geonouns; case_insensitive; generated inflection
fell,GEONOUN,locale,geonouns; case_insensitive; curated
fells,GEONOUN,locale,geonouns; case_insensitive; generated inflection
fence,GEONOUN,locale,geonouns; case_insensitive; curated
fences,GEONOUN,locale,geonouns; case_insensitive; generated inflection
ferries,GEONOUN,locale,geonouns; case_insensitive; generated inflection
ferry,GEONOUN,locale,geonouns; case_insensitive; curated
ferry terminal,GEONOUN,locale,geonouns; case_insensitive; curated
ferry terminals,GEONOUN,locale,geonouns; case_insensitive; generated inflection
field,GEONOUN,locale,geonouns; case_insensitive; curated
field hospital,GEONOUN,locale,geonouns; case_insensitive; curated
field hospitals,GEONOUN,locale,geonouns; case_insensitive; generated inflection
field house,GEONOUN,locale,geonouns; case_insensitive; curated
field houses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
field of battle,GEONOUN,locale,geonouns; case_insensitive; curated
field of battles,GEONOUN,locale,geonouns; case_insensitive; generated inflection
field of fire,GEONOUN,locale,geonouns; case_insensitive; curated
field of fires,GEONOUN,locale,geonouns; case_insensitive; generated inflection
field of honor,GEONOUN,locale,geonouns; case_insensitive; curated
field of honors,GEONOUN,locale,geonouns; case_insensitive; generated inflection
fields,GEONOUN,locale,geonouns; case_insensitive; curated
fieldses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
fiord,GEONOUN,locale,geonouns; case_insensitive; curated
fiords,GEONOUN,locale,geonouns; case_insensitive; generated inflection
fire pit,GEONOUN,locale,geonouns; case_insensitive; curated
fire pits,GEONOUN,locale,geonouns; case_insensitive; generated inflection
firebreak,GEONOUN,locale,geonouns; case_insensitive; curated
firebreaks,GEONOUN,locale,geonouns; case_insensitive; generated inflection
fireguard,GEONOUN,locale,geonouns; case_insensitive; curated
fireguards,GEONOUN,locale,geonouns; case_insensitive; generated inflection
firetrap,GEONOUN,locale,geonouns; case_insensitive; curated
firetraps,GEONOUN,locale,geonouns; case_insensitive; generated inflection
first-floor,GEONOUN,locale,geonouns; case_insensitive; curated
first-floors,GEONOUN,locale,geonouns; case_insensitive; generated inflection
